Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
11th,10,Joe Breeden,Intense Racing UK,Enduro | Senior Male,00:20:09.9,+0:44.10, ,00:04:11.1,12th,00:03:05.1,21st,00:02:58.2,16th,00:03:04.4,16th,00:02:15.9,6th,00:02:26.0,5th,00:02:09.0,13th
12th,1162,Rob Yonge,Cant quit Cartel,Enduro | Master Male,00:20:15.9,+0:50.17, ,00:04:05.2,5th,00:02:59.4,11th,00:02:56.1,10th,00:03:09.0,30th,00:02:24.0,68th,00:02:31.8,27th,00:02:10.7,18th
13th,13,Olly Morris,Intense Racing UK,Enduro | Master Male,00:20:16.0,+0:50.21, ,00:04:11.1,13th,00:02:58.2,10th,00:03:00.3,23rd,00:03:05.1,17th,00:02:19.7,29th,00:02:31.2,24th,00:02:10.3,16th
14th,1158,Brad Illingworth,Scott Sports,Enduro | Master Male,00:20:16.3,+0:50.53, ,00:04:07.5,9th,00:03:01.2,15th,00:02:57.1,15th,00:03:11.5,48th,00:02:14.2,2nd,00:02:32.5,33rd,00:02:12.3,23rd
15th,118,Luke Meredith,decade europe,Enduro | Master Male,00:20:24.8,+0:59.02, ,00:04:22.2,29th,00:03:03.7,18th,00:02:59.0,19th,00:03:01.5,12th,00:02:19.6,28th,00:02:29.0,14th,00:02:09.8,15th
16th,4,Chris Hutchens,Team Wideopenmag,Enduro | Senior Male,00:20:26.2,+1:00.39, ,00:04:12.2,14th,00:03:02.9,16th,00:02:58.8,18th,00:03:05.7,20th,00:02:24.6,76th,00:02:32.8,36th,00:02:09.3,14th
17th,23,Philip Shucksmith,Whyte Bikes,Enduro | Master Male,00:20:27.2,+1:01.40, ,00:04:14.7,16th,00:03:07.1,31st,00:02:59.8,22nd,00:03:06.5,23rd,00:02:17.4,17th,00:02:31.2,23rd,00:02:10.5,17th
18th,985,Ben Jones,DT Bicycles/Extreme Culture,Enduro | Senior Male,00:20:32.1,+1:06.33, ,00:04:15.3,17th,00:03:11.4,46th,00:02:59.2,21st,00:03:07.2,26th,00:02:16.0,7th,00:02:27.8,9th,00:02:15.2,31st
19th,119,Phil Camsell,Starling Cycles - Silk Suspension,Enduro | Senior Male,00:20:36.7,+1:10.95, ,00:04:27.8,53rd,00:03:07.9,32nd,00:02:57.0,13th,00:03:03.5,14th,00:02:17.3,16th,00:02:30.0,21st,00:02:13.2,26th
20th,28,Sean Robinson, ,Enduro | Master Male,00:20:37.2,+1:11.44, ,00:04:15.4,18th,00:03:07.0,30th,00:02:59.0,20th,00:03:07.2,25th,00:02:22.7,51st,00:02:34.2,46th,00:02:11.7,20th
21st,1172,Douglas Vieira, ,Enduro | Senior Male,00:20:39.1,+1:13.33, ,00:04:26.2,43rd,00:02:57.7,8th,00:03:01.9,30th,00:03:06.1,21st,00:02:24.1,69th,00:02:36.0,65th,00:02:07.0,7th=
22nd,57,Tom Hick,Velo club York,Enduro | Master Male,00:20:40.4,+1:14.59, ,00:04:22.3,31st,00:03:08.1,33rd,00:02:55.4,7th,00:02:59.3,7th,00:02:26.5,97th=,00:02:36.9,73rd,00:02:11.8,22nd
23rd,32,Liam Little,4playcycles,Enduro | Master Male,00:20:49.9,+1:24.17, ,00:04:22.0,26th,00:03:08.5,34th,00:03:03.0,34th,00:03:06.2,22nd,00:02:22.1,44th,00:02:33.1,38th,00:02:15.1,30th
24th,63,Chris Pearson,Splatshop,Enduro | Master Male,00:20:52.7,+1:26.88, ,00:04:28.6,55th,00:03:06.1,24th,00:03:00.5,24th,00:03:06.8,24th,00:02:22.9,52nd,00:02:32.0,29th,00:02:15.7,35th
25th,1169,Jordan Gould,Bike-track.com,Enduro | Master Male,00:20:53.9,+1:28.12, ,00:04:21.1,23rd,00:03:06.2,25th,00:03:02.6,32nd,00:03:09.9,35th,00:02:26.6,101st,00:02:34.5,47th,00:02:13.1,25th
26th,1160,Neil Donoghue,GMBN,Enduro | Master Male,00:20:55.9,+1:30.17, ,00:04:16.2,20th,00:03:06.9,29th,00:03:02.6,33rd,00:03:26.1,173rd=,00:02:17.6,19th,00:02:34.7,51st,00:02:11.8,21st
27th,5478,Eli Wright,Stif Mountain Bikes,Enduro | Senior Male,00:20:57.6,+1:31.83, ,00:04:23.0,32nd,00:03:13.8,57th,00:03:04.6,40th,00:03:11.2,46th,00:02:19.9,32nd,00:02:29.7,15th,00:02:15.3,32nd
28th,1153,Luke Marshal,MBUK,Enduro | Master Male,00:20:58.6,+1:32.87, ,00:04:27.3,50th,00:03:06.4,27th,00:03:07.3,55th,00:03:11.6,49th,00:02:16.7,11th,00:02:32.5,32nd,00:02:16.8,38th
29th,120,Phil Sellors,Buxton mtb,Enduro | Master Male,00:20:59.0,+1:33.26, ,00:04:22.2,30th,00:03:12.5,50th,00:03:01.9,29th,00:03:05.5,19th,00:02:23.0,53rd,00:02:34.8,52nd,00:02:19.1,52nd
30th,44,Tom Wilson,Orange Factory Racing/ Vittoria Tyres,Enduro | Senior Male,00:21:00.5,+1:34.73, ,00:04:21.9,25th,00:03:08.8,36th,00:03:02.5,31st,00:03:08.1,27th,00:02:27.1,117th,00:02:34.6,50th,00:02:17.5,46th
31st,21,Martyn Alderson,Stif,Enduro | Veteran Male,00:21:02.1,+1:36.37, ,00:04:23.7,34th,00:03:15.9,69th,00:03:00.9,27th,00:03:08.4,28th,00:02:23.2,56th,00:02:37.3,78th,00:02:12.8,24th
32nd,12,Morgan Tyrrell,MBUK,Enduro | Senior Male,00:21:05.5,+1:39.71, ,00:04:29.1,61st,00:03:12.8,51st,00:03:06.8,52nd,00:03:13.4,67th,00:02:17.8,21st,00:02:31.5,26th,00:02:14.2,27th
33rd,1179,Jack Harker,Stif Mountain Bikes,Enduro | Senior Male,00:21:06.7,+1:40.94, ,00:04:26.8,46th=,00:03:14.0,60th,00:03:04.8,42nd,00:03:09.8,34th,00:02:21.8,41st,00:02:32.3,31st,00:02:17.3,44th
34th,58,Damian Groves,Niner bikes-spokes bikeshop,Enduro | Senior Male,00:21:06.8,+1:41.00, ,00:04:22.1,28th,00:03:05.7,22nd,00:03:07.8,60th,00:03:11.9,53rd,00:02:27.1,119th,00:02:37.2,74th,00:02:14.9,29th
35th,61,Dan Farrer, ,Enduro | Master Male,00:21:06.9,+1:41.17, ,00:04:31.7,71st,00:03:11.2,44th,00:03:00.6,25th,00:03:10.1,37th,00:02:21.0,37th,00:02:33.2,39th,00:02:19.1,51st
36th,53,Rob Goodey,Pearce Cycles,Enduro | Senior Male,00:21:11.0,+1:45.27, ,00:04:20.1,21st,00:03:14.4,61st,00:03:04.2,36th=,00:03:12.5,57th,00:02:27.2,120th,00:02:38.4,94th=,00:02:14.3,28th
37th,26,Jaime Harper,Lapierre UK/True North Adventures,Enduro | Veteran Male,00:21:11.3,+1:45.49, ,00:04:21.5,24th,00:03:16.2,72nd,00:03:04.3,38th,00:03:11.9,52nd,00:02:23.6,61st,00:02:38.4,94th=,00:02:15.4,33rd
38th,444,Brett Jacksonm, ,Enduro | Master Male,00:21:11.8,+1:45.98, ,00:04:25.0,37th,00:03:17.5,79th,00:03:06.0,47th,00:03:09.1,31st,00:02:16.7,9th,00:02:34.6,48th=,00:02:23.0,82nd
39th,900,Christopher Sutcliffe, ,Enduro | Senior Male,00:21:13.9,+1:48.16, ,00:04:23.9,35th,00:03:13.5,54th,00:03:09.0,67th,00:03:10.8,43rd,00:02:21.7,40th,00:02:27.0,6th,00:02:28.1,138th
40th,164,Matt Gosling,Spokes bikeshop / sixth element,Enduro | Senior Male,00:21:14.2,+1:48.48, ,00:04:34.6,84th,00:03:06.3,26th,00:03:08.3,62nd,00:03:05.2,18th,00:02:27.8,128th,00:02:35.2,58th,00:02:16.7,37th
41st,643,Paul Buchanan,Manx MTB Enduro,Enduro | Veteran Male,00:21:14.7,+1:48.94, ,00:04:26.9,48th,00:03:17.0,76th,00:03:09.9,73rd,00:03:11.6,50th,00:02:22.0,42nd,00:02:31.9,28th,00:02:15.6,34th
42nd,582,Thomas Housecroft,Lazy Pushbike Boys,Enduro | Senior Male,00:21:15.1,+1:49.35, ,00:04:25.2,38th=,00:03:10.0,41st,00:03:00.9,26th,00:03:18.3,100th,00:02:25.2,83rd,00:02:35.0,55th,00:02:20.7,61st
43rd,231,Joe Robson,Army Enduro MTB Team,Enduro | Master Male,00:21:16.8,+1:51.08, ,00:04:33.7,80th,00:03:11.4,47th,00:03:09.4,70th,00:03:09.1,33rd,00:02:19.8,30th,00:02:34.0,45th,00:02:19.4,54th
44th,169,Oli Carter,Identiti / Halo / TSG / MRP / ODI,Enduro | Master Male,00:21:17.6,+1:51.88, ,00:04:22.0,27th,00:03:10.2,42nd,00:03:07.7,58th=,00:03:12.4,56th,00:02:24.3,71st,00:02:42.4,163rd,00:02:18.7,49th
45th,910,Luke Flack,Tally wacker racing,Enduro | Senior Male,00:21:21.0,+1:55.20, ,00:04:35.5,89th,00:03:16.0,70th,00:03:07.4,56th,00:03:10.2,38th,00:02:20.6,36th,00:02:29.9,18th,00:02:21.3,69th
46th,113,Francois Damseaux,Rad Rides,Enduro | Master Male,00:21:21.7,+1:55.95, ,00:04:34.3,82nd,00:03:15.6,68th,00:03:14.4,110th,00:03:09.1,32nd,00:02:19.0,27th,00:02:28.6,13th,00:02:20.9,64th
47th,108,Aidan Coulthard,Bikepark Dent,Enduro | Senior Male,00:21:22.7,+1:56.89, ,00:04:26.9,49th,00:03:21.1,102nd,00:03:08.7,65th,00:03:10.8,42nd,00:02:23.5,59th,00:02:32.2,30th,00:02:19.4,55th
48th,646,David Asbridge,Manx MTB Enduro,Enduro | Master Male,00:21:24.8,+1:58.98, ,00:04:28.6,54th,00:03:16.6,74th,00:03:07.7,58th=,00:03:18.1,97th,00:02:21.3,39th,00:02:33.7,41st,00:02:18.7,50th
49th,1168,Ben Deakin,DMR Bike/Muc-off,Enduro | Master Male,00:21:25.6,+1:59.82, ,00:04:26.6,45th,00:03:24.0,122nd=,00:03:04.7,41st,00:03:12.9,62nd,00:02:23.7,63rd,00:02:33.0,37th,00:02:20.7,62nd
50th,1131,Ben Smith-Price,Pace Cycles,Enduro | Senior Male,00:21:25.8,+2:00.02, ,00:04:29.2,63rd,00:03:21.6,106th,00:03:06.5,49th,00:03:12.5,58th=,00:02:22.2,48th,00:02:32.6,34th,00:02:21.2,68th
51st,1188,Steve Larking,Hotlines,Enduro | Master Male,00:21:26.4,+2:00.65, ,00:04:28.8,57th,00:03:15.3,67th,00:03:05.8,46th,00:03:14.9,75th,00:02:22.6,49th,00:02:35.7,62nd,00:02:23.4,88th
52nd,759,Mike Moore,oi oi,Enduro | Master Male,00:21:27.6,+2:01.87, ,00:04:26.8,46th=,00:03:20.2,92nd,00:03:06.8,54th,00:03:13.9,70th,00:02:18.3,24th,00:02:35.2,59th,00:02:26.4,119th
53rd,1151,Jonathan Gregory,Rad Rides,Enduro | Veteran Male,00:21:28.5,+2:02.75, ,00:04:27.7,52nd,00:03:15.1,64th,00:03:10.0,74th,00:03:14.2,72nd,00:02:20.0,33rd,00:02:36.1,66th,00:02:25.2,103rd
54th,67,Ryan Bevis,The Bulls - Can't Quit Cartel,Enduro | Master Male,00:21:30.2,+2:04.45, ,00:04:25.2,38th=,00:03:15.1,63rd,00:03:12.0,91st,00:03:13.8,68th=,00:02:26.9,110th,00:02:36.5,68th,00:02:20.8,63rd
55th,29,Jim Buchanan,Pinned TV,Enduro | Veteran Male,00:21:32.6,+2:06.85, ,00:04:29.8,65th,00:03:16.7,75th,00:03:06.8,53rd,00:03:13.2,65th,00:02:25.7,91st,00:02:39.1,101st,00:02:21.4,70th
56th,1074,Paul Garrett, ,Enduro | Master Male,00:21:32.9,+2:07.17, ,00:04:25.9,42nd,00:03:09.4,37th=,00:03:07.7,57th,00:03:19.7,113th,00:02:24.5,73rd,00:02:43.0,170th,00:02:22.7,79th
57th,1181,Michael Easton,Descent World x Bergamont,Enduro | Master Male,00:21:34.8,+2:09.03, ,00:04:23.5,33rd,00:03:13.4,53rd,00:03:09.4,69th,00:03:25.1,161st,00:02:23.9,65th=,00:02:33.9,44th,00:02:25.6,110th
58th,60,Dan Thorpe,Splatshop,Enduro | Master Male,00:21:35.4,+2:09.62, ,00:04:30.0,66th,00:03:13.5,55th,00:03:11.2,83rd,00:03:10.3,39th,00:02:29.6,170th=,00:02:43.8,189th,00:02:17.0,40th
59th,182,James Stapleton, ,Enduro | Master Male,00:21:35.9,+2:10.14, ,00:04:37.8,103rd,00:03:11.9,48th,00:03:08.7,66th,00:03:10.6,40th,00:02:27.8,127th,00:02:38.2,92nd,00:02:21.0,65th
60th,54,Jake Scutt, ,Enduro | Senior Male,00:21:37.5,+2:11.76, ,00:04:28.8,56th,00:03:19.6,89th,00:03:06.6,51st,00:03:14.8,74th,00:02:26.8,108th=,00:02:37.7,82nd,00:02:23.2,85th
61st,1199,Chris Dixon,Biketreks,Enduro | Master Male,00:21:37.9,+2:12.08, ,00:04:28.9,59th=,00:03:09.6,39th,00:03:08.4,63rd,00:03:14.5,73rd,00:02:32.1,226th,00:02:41.4,141st,00:02:23.1,83rd
62nd,242,Martin Peak,Army Enduro MTB Team,Enduro | Master Male,00:21:39.1,+2:13.35, ,00:04:31.0,67th,00:03:18.0,82nd,00:03:12.1,92nd,00:03:10.7,41st,00:02:25.2,85th,00:02:39.7,111th,00:02:22.5,77th
63rd,170,Fin Clay,WildBike,Enduro | Hardtail Male,00:21:39.6,+2:13.85, ,00:04:21.0,22nd,00:03:13.7,56th,00:03:04.2,36th=,00:03:11.0,45th,00:02:29.1,157th,00:02:56.0,537th,00:02:24.7,94th
64th,442,Daniel Johnson, ,Enduro | Master Male,00:21:42.0,+2:16.20, ,00:04:37.9,104th,00:03:28.4,158th,00:03:13.7,107th,00:03:12.6,60th,00:02:17.7,20th,00:02:30.1,22nd,00:02:21.7,72nd
65th,112,Rene Damseaux,Rad Rides,Enduro | Veteran Male,00:21:42.8,+2:17.05, ,00:04:34.0,81st,00:03:15.0,62nd,00:03:18.5,152nd,00:03:16.9,87th,00:02:21.3,38th,00:02:35.9,64th,00:02:21.2,67th
66th,642,Robbie Turner, ,Enduro | Senior Male,00:21:44.2,+2:18.47, ,00:04:28.9,59th=,00:03:17.5,80th,00:03:08.4,64th,00:03:25.3,164th,00:02:26.3,96th,00:02:38.5,96th,00:02:19.3,53rd
67th,126,David Camus,Cotic Bikes / HKT Products,Enduro | Hardtail Male,00:21:44.5,+2:18.73, ,00:04:31.6,70th,00:03:17.9,81st,00:03:15.4,119th,00:03:14.0,71st,00:02:25.3,88th=,00:02:35.3,61st,00:02:25.0,99th
68th,1183,James Purvis,Descent World x Bergamont,Enduro | Senior Male,00:21:46.6,+2:20.84, ,00:04:27.6,51st,00:03:06.0,23rd,00:03:05.4,44th,00:03:25.5,166th,00:02:28.9,148th,00:02:51.3,404th=,00:02:21.9,75th
69th,1015,Tom Wilcox, ,Enduro | Master Male,00:21:50.1,+2:24.38, ,00:04:32.2,72nd,00:03:21.6,107th,00:03:14.0,108th,00:03:17.3,89th,00:02:26.9,112th,00:02:36.4,67th,00:02:21.8,73rd
70th,33,Martin Zietsman,Maxxis MTB,Enduro | Master Male,00:21:50.5,+2:24.72, ,00:04:36.0,90th,00:03:19.4,87th,00:03:10.4,75th,00:03:19.4,112th,00:02:29.9,175th=,00:02:38.0,87th,00:02:17.3,45th
71st,1170,Andy Fawcett, ,Enduro | Master Male,00:21:51.7,+2:25.97, ,00:04:41.7,135th,00:03:20.8,100th,00:03:10.6,77th,00:03:16.8,86th,00:02:25.7,92nd,00:02:37.9,86th,00:02:18.3,47th
72nd,603,Robert Pickard,Vyking Energy,Enduro | Senior Male,00:21:52.4,+2:26.66, ,00:04:32.5,76th,00:03:23.1,113th,00:03:20.1,175th,00:03:13.2,64th,00:02:24.5,75th,00:02:35.0,56th,00:02:23.9,91st
73rd,95,Nicholas Icke,BM-eX,Enduro | Master Male,00:21:53.5,+2:27.75, ,00:04:33.0,78th,00:03:19.3,86th,00:03:14.8,114th,00:03:16.0,82nd,00:02:26.6,100th,00:02:39.1,100th,00:02:24.8,97th
74th,100,Mark Tones,Bollocknack UK,Enduro | Veteran Male,00:21:53.6,+2:27.86, ,00:04:38.1,109th,00:03:20.8,99th,00:03:11.5,87th,00:03:18.0,96th,00:02:25.2,84th,00:02:38.2,90th,00:02:21.8,74th
75th,27,Nick Hawker, ,Enduro | Master Male,00:21:53.9,+2:28.11, ,00:04:40.8,128th,00:03:22.6,112th,00:03:09.3,68th,00:03:14.9,76th,00:02:26.0,95th,00:02:39.8,113th=,00:02:20.4,58th
76th,787,Rob Waite,Port William Yacht Club,Enduro | Senior Male,00:21:54.2,+2:28.45, ,00:04:45.4,169th,00:03:20.4,95th,00:03:12.9,99th,00:03:15.7,79th,00:02:23.1,54th,00:02:33.8,42nd,00:02:22.8,80th
77th,230,Gareth Bezant,Army Enduro MTB Team,Enduro | Master Male,00:21:54.7,+2:28.91, ,00:04:35.0,86th,00:03:11.3,45th,00:03:24.3,213th,00:03:12.5,58th=,00:02:29.3,164th,00:02:41.7,150th,00:02:20.6,60th
78th,66,Celyn Mitchell,The A Team,Enduro | Veteran Male,00:21:56.8,+2:31.00, ,00:04:37.9,106th,00:03:15.2,66th,00:03:06.1,48th,00:03:17.9,94th,00:02:35.7,337th,00:02:46.9,275th,00:02:16.9,39th
79th,107,Karl Robinson,BOLLOCKNACK UK,Enduro | Veteran Male,00:21:57.6,+2:31.80, ,00:04:41.6,134th,00:03:20.7,97th=,00:03:11.4,85th,00:03:16.6,85th,00:02:24.4,72nd,00:02:41.2,137th,00:02:21.7,71st
80th,50,Richard Payne,"Ridge Components, Remap Clothing",Enduro | Master Male,00:21:59.5,+2:33.72, ,00:05:14.9,507th,00:03:06.8,28th,00:03:05.6,45th,00:03:12.8,61st,00:02:24.7,78th=,00:02:38.4,93rd,00:02:16.3,36th
81st,443,Oliver Raine, ,Enduro | Senior Male,00:22:00.4,+2:34.63, ,00:04:39.7,120th,00:03:19.1,84th,00:03:13.5,106th,00:03:21.7,132nd,00:02:22.6,50th,00:02:37.6,81st,00:02:26.2,116th
82nd,135,James Haworth,FAF,Enduro | Master Male,00:22:01.4,+2:35.60, ,00:04:38.8,113th,00:03:20.1,90th,00:03:12.4,95th,00:03:15.2,78th,00:02:23.9,65th=,00:02:34.9,54th,00:02:36.1,270th=
83rd,14,Duncan Ferris,DMR Bikes,Enduro | Master Male,00:22:03.6,+2:37.84, ,00:04:53.7,239th,00:03:08.6,35th,00:03:13.0,101st,00:03:20.5,118th,00:02:25.9,94th,00:02:44.8,222nd,00:02:17.1,42nd
84th,1194,Robert Berger,Freedom bikes,Enduro | Master Male,00:22:04.1,+2:38.36, ,00:04:37.7,102nd,00:03:39.5,267th,00:03:08.1,61st,00:03:16.4,84th,00:02:22.1,45th=,00:02:33.4,40th,00:02:26.9,121st
85th,517,Andrew Deacon,TEAM ALPINE,Enduro | Master Male,00:22:04.5,+2:38.74, ,00:04:36.6,96th,00:03:30.1,171st,00:03:11.4,86th,00:03:18.2,98th,00:02:23.8,64th,00:02:34.9,53rd,00:02:29.5,155th
86th,240,Tim Fleming,Army Enduro MTB Team,Enduro | Master Male,00:22:04.8,+2:39.04, ,00:04:36.4,94th,00:03:21.4,105th,00:03:16.4,129th,00:03:18.3,101st,00:02:24.7,80th,00:02:40.6,128th,00:02:27.0,123rd
87th,1155,Tracey Moseley,Sweet Protection / Trek,Enduro | Master Female,00:22:06.1,+2:40.35, ,00:04:35.2,87th,00:03:20.7,96th,00:03:13.1,102nd,00:03:18.9,106th,00:02:30.4,185th=,00:02:44.6,210th=,00:02:23.3,87th
88th,142,Simon Hartley, ,Enduro | Veteran Male,00:22:07.1,+2:41.29, ,00:04:34.8,85th,00:03:20.4,94th,00:03:11.3,84th,00:03:18.3,102nd,00:02:30.8,196th,00:02:39.1,102nd=,00:02:32.3,198th
89th,22,Kieron Bakewell, ,Enduro | Master Male,00:22:07.1,+2:41.35, ,00:04:32.8,77th,00:03:23.9,121st,00:03:11.9,90th,00:03:25.5,165th,00:02:31.0,201st=,00:02:41.5,146th,00:02:20.4,59th
90th,664,Timothy Broad,Mid Life Crisis,Enduro | Grand Vet Male,00:22:08.3,+2:42.48, ,00:04:37.3,100th,00:03:25.3,128th=,00:03:14.9,115th,00:03:18.8,104th,00:02:27.4,123rd,00:02:40.8,131st=,00:02:23.9,90th
91st,357,Glenn Smith,Cliffe mtb,Enduro | Senior Male,00:22:10.6,+2:44.86, ,00:04:36.2,92nd,00:03:27.2,141st=,00:03:15.6,120th,00:03:20.5,117th,00:02:26.5,97th=,00:02:37.8,85th,00:02:26.9,122nd
92nd,192,Mark Dowson,Thirsk Massive,Enduro | Veteran Male,00:22:11.2,+2:45.44, ,00:04:43.2,145th,00:03:24.0,124th,00:03:10.5,76th,00:03:15.9,81st,00:02:29.2,160th=,00:02:44.4,207th,00:02:24.0,92nd
93rd,957,Matthew Teare,The A Team,Enduro | Senior Male,00:22:11.8,+2:46.07, ,00:04:38.0,107th,00:03:18.6,83rd,00:03:12.6,96th,00:03:21.7,131st,00:02:35.6,326th=,00:02:44.3,201st,00:02:21.2,66th
94th,929,William Mellor,team colin,Enduro | Master Male,00:22:12.7,+2:46.98, ,00:04:39.2,117th=,00:03:29.7,168th,00:03:13.4,104th,00:03:19.1,110th,00:02:24.8,81st,00:02:40.7,130th,00:02:25.9,112th
95th,424,Matthew Stephenson,DATCC,Enduro | Master Male,00:22:13.1,+2:47.31, ,00:04:36.2,93rd,00:03:27.6,146th,00:03:15.0,117th,00:03:19.2,111th,00:02:30.1,178th,00:02:40.2,122nd,00:02:24.8,98th
96th,38,Ben Goulding,StevePeatSyndicate,Enduro | Master Male,00:22:13.3,+2:47.53, ,00:04:42.7,143rd,00:03:27.5,145th,00:03:09.6,71st,00:03:15.9,80th,00:02:28.8,146th,00:02:40.5,125th=,00:02:28.3,141st
97th,56,Thomas Lloyd,NDH / Orange / Start Cycles,Enduro | Master Male,00:22:13.5,+2:47.72, ,00:04:38.6,112th,00:03:22.2,110th,00:03:16.9,134th=,00:03:19.1,109th,00:02:29.8,173rd,00:02:39.9,117th,00:02:27.0,124th
98th,1195,Tom Meehan, ,Enduro | Master Male,00:22:13.7,+2:47.88, ,00:04:44.3,161st,00:03:25.3,130th,00:03:13.5,105th,00:03:18.4,103rd,00:02:27.4,122nd,00:02:36.8,69th=,00:02:28.0,135th
99th,1067,Paul Mackie,Meridiabikes UK,Enduro | Veteran Male,00:22:16.0,+2:50.18, ,00:04:40.9,129th,00:03:27.3,143rd,00:03:14.5,111th,00:03:22.2,139th,00:02:24.2,70th,00:02:37.3,79th,00:02:29.6,160th
100th,519,Alan Strang,High Peak Cycles / Team Moron,Enduro | Master Male,00:22:17.2,+2:51.42, ,00:04:41.8,136th,00:03:23.7,118th,00:03:18.7,158th,00:03:22.1,137th,00:02:26.9,111th,00:02:37.3,77th,00:02:26.7,120th
101st,695,Dan Kaye,Team Monduro,Enduro | Veteran Male,00:22:17.5,+2:51.70, ,00:04:39.8,122nd,00:03:24.4,125th,00:03:16.2,127th,00:03:21.5,128th,00:02:31.7,216th=,00:02:38.7,97th,00:02:25.1,101st
102nd,505,Rick Minshull,Twelve50 Bikes,Enduro | Master Male,00:22:18.3,+2:52.51, ,00:04:40.4,126th,00:03:28.9,163rd,00:03:14.1,109th,00:03:21.8,134th=,00:02:25.9,93rd,00:02:39.1,102nd=,00:02:28.2,140th
103rd,659,Ryan West,knee,Enduro | Master Male,00:22:18.3,+2:52.56, ,00:04:39.0,114th,00:03:19.2,85th,00:03:18.7,156th=,00:03:18.0,95th,00:02:38.2,417th,00:02:40.6,127th,00:02:24.7,96th
104th,207,Matt Beck, ,Enduro | Senior Male,00:22:20.0,+2:54.27, ,00:04:45.6,171st=,00:03:23.9,120th,00:03:10.8,81st,00:03:21.0,123rd,00:02:32.0,224th,00:02:41.2,139th,00:02:25.5,108th
105th,5477,Wesley Bruney,Pace Cycles,Enduro | Hardtail Male,00:22:20.1,+2:54.28,H,00:04:38.2,110th,00:03:33.1,201st,00:03:21.8,192nd,00:03:18.9,107th,00:02:24.5,74th,00:02:33.9,43rd,00:02:29.5,156th
106th,51,Ben Horan,Maxxis MTB,Enduro | Master Male,00:22:20.1,+2:54.37, ,00:04:42.4,141st,00:03:28.0,153rd,00:03:13.0,100th,00:03:25.8,169th,00:02:26.8,108th=,00:02:38.1,89th,00:02:26.0,113th
